1805731.085000000,::212:7403:3:303,::1,01001600492600002f38e8f9be0187020505f401b60501008300fc0001008500b600ffffffff0000000000000000c4da
1805731.086000000,::212:7403:3:303,::1,01001600492600002f38e8f9be0187020505f401b60501008300fc0001008500b600ffffffff0000000000000000c4da
1805731.087000000,::212:7403:3:303,::1,01001600492600002f38e8f9be0187020505f401b60501008300fc0001008500b600ffffffff0000000000000000c4da
1805732.723000000,::212:7403:3:303,::1,01001600492600002f38e8f9be0187020505f401b60501008300fc0001008500b600ffffffff000076f200000000
1805732.306000000,::212:7403:3:303,::1,01001600492600002f38e8f9be0187020505f401b60501008300fc0001008500b600ffffffff0000547800000000
1805772.145000000,::212:7404:4:404,::1,010016004b3300005a25b4a7d500990102020701dc0301008300fc000100bd00b600ffffffff0000000000000000ac57
1805772.155000000,::212:7404:4:404,::1,010016004b3300005a25b4a7d500990102020701dc0301008300fc000100bd00b600ffffffff0000000000000000ac57
1805772.156000000,::212:7404:4:404,::1,010016004b3300005a25b4a7d500990102020701dc0301008300fc000100bd00b600ffffffff0000000000000000ac57
1805772.158000000,::212:7404:4:404,::1,010016004b3300005a25b4a7d500990102020701dc0301008300fc000100bd00b600ffffffff0000000000000000ac57
1805772.581000000,::212:7404:4:404,::1,010016004b3300005a25b4a7d500990102020701dc0301008300fc000100bd00b600ffffffff0000a53600000000
1805780.158000000,::212:7402:2:202,::1,01001600c335000072297dadfc00080201018000b90101008300fc0001008500b600ffffffff000000000000000055fa
1805796.638000000,::212:7405:5:505,::1,No Data in this packet
1805796.653000000,::212:7405:5:505,::1,No Data in this packet
1805796.653000000,::212:7405:5:505,::1,No Data in this packet
1805796.654000000,::212:7405:5:505,::1,No Data in this packet
1805796.127000000,::212:7405:5:505,::1,No Data in this packet
1805797.414000000,::212:7406:6:606,::1,01001600bb3a00001d2bafbf1701c00101018000ce0201008300fc000100bd00b600ffffffff0000000000000000ecc3
1805811.217000000,::212:7402:2:202,::1,02001600093f0000323a7ceeb201ac03010180009c0101008300bb0001007c007500ffffffff000000000000000006ee
1805817.242000000,::212:7405:5:505,::1,No Data in this packet
1805817.243000000,::212:7405:5:505,::1,No Data in this packet
1805818.199000000,::212:7405:5:505,::1,No Data in this packet
1805818.497000000,::212:7405:5:505,::1,No Data in this packet
1805826.771000000,::212:7406:6:606,::1,020016002943000032317edc15002402010180008e0201000601bb0001007c007500ffffffff00000000000000004fe8
1805831.294000000,::212:7403:3:303,::1,0200160067440000682882c87000a00105055901400401000601bb0001007c007500ffffffff00000000000000007c73
1805831.294000000,::212:7403:3:303,::1,0200160067440000682882c87000a00105055901400401000601bb0001007c007500ffffffff00000000000000007c73
1805831.295000000,::212:7403:3:303,::1,0200160067440000682882c87000a00105055901400401000601bb0001007c007500ffffffff00000000000000007c73
1805831.295000000,::212:7403:3:303,::1,0200160067440000682882c87000a00105055901400401000601bb0001007c007500ffffffff00000000000000007c73
1805832.839000000,::212:7403:3:303,::1,0200160067440000682882c87000a00105055901400401000601bb0001007c007500ffffffff0000008900000000
1805832.291000000,::212:7403:3:303,::1,0200160067440000682882c87000a00105055901400401000601bb0001007c007500ffffffff0000001300000000
1805863.541000000,::212:7404:4:404,::1,02001600624e00000425a6b370007f010202d900410301000601bb0001007c007500ffffffff000000000000000028e3
1805863.541000000,::212:7404:4:404,::1,02001600624e00000425a6b370007f010202d900410301000601bb0001007c007500ffffffff000000000000000028e3
1805863.542000000,::212:7404:4:404,::1,02001600624e00000425a6b370007f010202d900410301000601bb0001007c007500ffffffff000000000000000028e3
1805863.542000000,::212:7404:4:404,::1,02001600624e00000425a6b370007f010202d900410301000601bb0001007c007500ffffffff000000000000000028e3
1805863.581000000,::212:7404:4:404,::1,02001600624e00000425a6b370007f010202d900410301000601bb0001007c007500ffffffff0000d08900000000
1805930.633000000,::212:7405:5:505,::1,No Data in this packet
1805930.633000000,::212:7405:5:505,::1,No Data in this packet
1805930.633000000,::212:7405:5:505,::1,No Data in this packet
1805930.634000000,::212:7405:5:505,::1,No Data in this packet
1805931.860000000,::212:7405:5:505,::1,No Data in this packet
1805953.833000000,::212:7406:6:606,::1,03001600586a00008b1929830100f70001018000730201000601ab0001006c009d00ffffffff0000000000000000762b
1805972.109000000,::212:7404:4:404,::1,03001600a9700000d42d57e46900be010202c300fa0201000601ab0001006c006500ffffffff000000000000000071bc
1805972.189000000,::212:7404:4:404,::1,03001600a9700000d42d57e46900be010202c300fa0201000601ab0001006c006500ffffffff000000000000000071bc
1805972.189000000,::212:7404:4:404,::1,03001600a9700000d42d57e46900be010202c300fa0201000601ab0001006c006500ffffffff000000000000000071bc
1805972.557000000,::212:7404:4:404,::1,03001600a9700000d42d57e46900be010202c300fa0201000601ab0001006c006500ffffffff00005b7800000000
1805980.485000000,::212:7403:3:303,::1,030016002e730000e81e299c34002d0105055901250401000601ab0001006c006500ffffffff0000000000000000221d
1805980.543000000,::212:7403:3:303,::1,030016002e730000e81e299c34002d0105055901250401000601ab0001006c006500ffffffff0000000000000000221d
1805980.543000000,::212:7403:3:303,::1,030016002e730000e81e299c34002d0105055901250401000601ab0001006c006500ffffffff0000000000000000221d
1805981.903000000,::212:7403:3:303,::1,030016002e730000e81e299c34002d0105055901250401000601ab0001006c006500ffffffff000010a000000000
1805981.221000000,::212:7403:3:303,::1,030016002e730000e81e299c34002d0105055901250401000601ab0001006c006500ffffffff000050e000000000
1805991.267000000,::212:7402:2:202,::1,03001600037700003227b0b84100b50101018000810101000601ab0001006c006500ffffffff00000000000000009a93
1806025.837000000,::212:7403:3:303,::1,04001600b37e0000891ebc9911002901050559010c04010006019b0001005c005500ffffffff0000000000000000accc
1806025.947000000,::212:7403:3:303,::1,04001600b37e0000891ebc9911002901050559010c04010006019b0001005c005500ffffffff0000000000000000accc
1806025.947000000,::212:7403:3:303,::1,04001600b37e0000891ebc9911002901050559010c04010006019b0001005c005500ffffffff0000000000000000accc
1806025.046000000,::212:7403:3:303,::1,04001600b37e0000891ebc9911002901050559010c04010006019b0001005c005500ffffffff0000000000000000accc
1806025.408000000,::212:7403:3:303,::1,04001600b37e0000891ebc9911002901050559010c04010006019b0001005c005500ffffffff00000ff000000000
1806026.696000000,::212:7403:3:303,::1,04001600b37e0000891ebc9911002901050559010c04010006019b0001005c005500ffffffff0000087100000000
1806031.370000000,::212:7405:5:505,::1,No Data in this packet
1806031.451000000,::212:7405:5:505,::1,No Data in this packet
1806031.452000000,::212:7405:5:505,::1,No Data in this packet
1806032.786000000,::212:7405:5:505,::1,No Data in this packet
1806153.502000000,::212:7404:4:404,::1,040016005e8b0000532743ae120062010202c300cb0201000c029b0001005c005500ffffffff000000000000000064f4
1806153.543000000,::212:7404:4:404,::1,040016005e8b0000532743ae120062010202c300cb0201000c029b0001005c005500ffffffff000000000000000064f4
1806153.544000000,::212:7404:4:404,::1,040016005e8b0000532743ae120062010202c300cb0201000c029b0001005c005500ffffffff000000000000000064f4
1806154.127000000,::212:7404:4:404,::1,040016005e8b0000532743ae120062010202c300cb0201000c029b0001005c005500ffffffff00000c2400000000
1806184.347000000,::212:7406:6:606,::1,04001600958b00007a2e64db6200ca0101018000440201000c02a200010063005c00ffffffff00000000000000005253
1806192.147000000,::212:7402:2:202,::1,04001600648e00006622979818007d0101018000800101000c029b0001005c005500ffffffff0000000000000000efe7
