-1035074.066000000,fe80::212:7401:1:101,240
-1035074.068000000,fe80::212:7401:1:101,240
-1035074.071000000,fe80::212:7401:1:101,240
-1035074.074000000,fe80::212:7401:1:101,240
-1035074.077000000,fe80::212:7401:1:101,240
-1035073.082000000,fe80::212:7401:1:101,240
-1035073.087000000,fe80::212:7401:1:101,240
-1035073.091000000,fe80::212:7401:1:101,240
-1035073.137000000,fe80::212:7401:1:101,240
-1035073.137000000,fe80::212:7401:1:101,240
-1035073.138000000,fe80::212:7401:1:101,240
-1035073.138000000,fe80::212:7401:1:101,240
-1035073.138000000,fe80::212:7401:1:101,240
-1035073.158000000,fe80::212:7401:1:101,240
-1035073.158000000,fe80::212:7401:1:101,240
-1035073.158000000,fe80::212:7401:1:101,240
-1035073.158000000,fe80::212:7401:1:101,240
-1035073.158000000,fe80::212:7401:1:101,240
-1035073.161000000,fe80::212:7401:1:101,240
-1035073.170000000,fe80::212:7401:1:101,240
-1035073.172000000,fe80::212:7401:1:101,240
-1035073.177000000,fe80::212:7401:1:101,240
-1035073.179000000,fe80::212:7401:1:101,240
-1035073.182000000,fe80::212:7401:1:101,240
-1035073.185000000,fe80::212:7401:1:101,240
-1035073.187000000,fe80::212:7401:1:101,240
-1035073.190000000,fe80::212:7401:1:101,240
-1035073.194000000,fe80::212:7401:1:101,240
-1035073.197000000,fe80::212:7401:1:101,240
-1035073.199000000,fe80::212:7401:1:101,240
-1035073.201000000,fe80::212:7401:1:101,240
-1035073.219000000,fe80::212:7401:1:101,240
-1035073.828000000,fe80::212:7405:5:505,240
-1035073.836000000,fe80::212:7405:5:505,240
-1035073.841000000,fe80::212:7405:5:505,240
-1035073.844000000,fe80::212:7405:5:505,240
-1035073.851000000,fe80::212:7405:5:505,240
-1035073.855000000,fe80::212:7405:5:505,240
-1035073.859000000,fe80::212:7405:5:505,240
-1035073.862000000,fe80::212:7405:5:505,240
-1035073.865000000,fe80::212:7405:5:505,240
-1035073.869000000,fe80::212:7405:5:505,240
-1035073.872000000,fe80::212:7405:5:505,240
-1035073.875000000,fe80::212:7405:5:505,240
-1035073.879000000,fe80::212:7405:5:505,240
-1035073.885000000,fe80::212:7405:5:505,240
-1035073.890000000,fe80::212:7405:5:505,240
-1035073.894000000,fe80::212:7405:5:505,240
-1035073.898000000,fe80::212:7405:5:505,240
-1035073.902000000,fe80::212:7405:5:505,240
-1035073.920000000,fe80::212:7405:5:505,240
-1035073.920000000,fe80::212:7405:5:505,240
-1035073.922000000,fe80::212:7405:5:505,240
-1035073.926000000,fe80::212:7405:5:505,240
-1035073.931000000,fe80::212:7405:5:505,240
-1035073.941000000,fe80::212:7405:5:505,240
-1035073.946000000,fe80::212:7405:5:505,240
-1035073.951000000,fe80::212:7405:5:505,240
-1035073.961000000,fe80::212:7405:5:505,240
-1035073.968000000,fe80::212:7405:5:505,240
-1035073.973000000,fe80::212:7405:5:505,240
-1035073.037000000,fe80::212:7402:2:202,240
-1035073.043000000,fe80::212:7402:2:202,240
-1035073.049000000,fe80::212:7402:2:202,240
-1035073.052000000,fe80::212:7402:2:202,240
-1035073.056000000,fe80::212:7402:2:202,240
-1035073.065000000,fe80::212:7402:2:202,240
-1035073.073000000,fe80::212:7402:2:202,240
-1035073.078000000,fe80::212:7402:2:202,240
-1035072.085000000,fe80::212:7402:2:202,240
-1035072.091000000,fe80::212:7402:2:202,240
-1035072.095000000,fe80::212:7402:2:202,240
-1035072.140000000,fe80::212:7402:2:202,240
-1035072.141000000,fe80::212:7402:2:202,240
